Specific Bean Origin or Bar Name,Specific Bean Origin or Bar Name_idx
"Carenero S., Barlovento, Grand Cru",188
"Porcelana, Premier Cru, Quizas No. 1",189
"Java, Grand Cru",190
"Ocumare, Premier Cru, Quizas No. 2",191
Maracaibo,192
"Indigena Amazonia, Grand Cru, Quizas",193
"Nicaragua, American style",194
"San Andres, American style",195
"San Andres, silk",196
Merida,197
Carabobo,198
Aragua,199
Ankasa,200
Bocas del Toro,201
Puerto Plata,202
"Bali, Singaraja",203
"Sambirano, 2009",204
"Ocumare, prototype",205
"2009 Hapa Nibby, Dominican Rep., Bali",206
La Red,207
Carenero Superior,208
Matiguas,209
"""Cocoa Nibs"", Hispaniola w/ nibs",210
Blue Mountain Region,211
"Sierra Nevada, batch 92",212
"Maya Mountain, batch 98",213
Organic Dark,214
"Congo, Grand Cru",215
Zorzal Reserva,216
"Akesson's E., Sambirano V.",217
Maya Mtn,218
"Keningau, Borneo Island",219
"Kota Marudu, Borneo Island",220
"Tawau, Borneo Island",221
One Hundred,222
Ceylan,223
"Carribean, Trinite",224
"Ocumare, Puerto Cabello",225
"Maracaibo, El Rosario",226
"Porcelana, Venezuela",227
"Porcelana, Apotequil",228
Ivory Coast,229
"Porcelana, Tabasco, Marfil de Blanco",230
"Xoconusco, cacao Real",231
Jamaique,232
"Cusco, Cacao Cusco",233
Piura Blanco,234
Juliana,235
Libanio,236
"Madagascar, 100% criollo",237
Gabon,238
Maragnam,239
"Los Colorados, Santo Domingo, Equateur",240
"Surfin, Venez,Africa,Brasil,Peru,Mex",241
Kaori,242
Selva Maya,243
Madre de Dios,244
"El Rosario, Xoconuzco, Cusco, Sambirano",245
"El Castillero, Indio Maiz",246
"El Oro, Hacienda de Oro",247
Conacado,248
Esmeraldas,249
"Wild Bolivia, Sucre",250
Cooproagro,251
"Camino Verde, Guayas",252
"Ghana, batch 021813",253
"Chuao, Mantuano blend, batch 23613",254
"Conacado, batch 001515",255
"Guasare, Zulia Prov.",256
"O'payo, Waslala",257
Elvesia P.,258
Manabi,259
Ambolikapiky P.,260
Ambolikapkly P.,261
"Alta Verapaz, 2014, batch 69",262
Gran Couva,263
Somia Plantation,264
Marabel Farms,265
"Camino Verde, Balao, Guayas",266
"Alto Beni, No.2, Batch 17, 2016",267
"Lanquin, No.3, Batch 21, 2016",268
"Ecuador, Bob Bar",269
"Trinidad, batch 05050114",270
Blend,271
"Mindo, batch 01040914",272
Pingtung,273
"Monte Grande, lot 001180312",274
Asochivite,275
Puerto Rico,276
Patanemo,277
"Dominican Republic, ""Love Bar""",278
Dominican Republic w/ nibs,279
Tumbes,280
Mexico,281
Tanzania,282
Santo Domingo,283
Grand 'Anse,284
"H. Betulia, Antioquia, B8",285
"H. Betulia, Antioquia, B9",286
"H. Betulia, Antioquia, B6",287
"Agua Fria; Sucre region, H. La Trinidad",288
"Macuare; Miranda; Chloe formula, H. La Trinidad",289
"Chuao, Aragua region, H. La Trinidad",290
Hacienda la Trinidad,291
Rio Caribe,292
Carupano Pintao,293
"Barlovento, Familia Rojas",294
Canoabo,295
"Boyaca, Aprocampa Coop, Pauna",296
Arauca,297
Sierra Nevada,298
Arhuacos,299
Macondo,300
Perla Negra,301
"Jutiapa, lot 050916D",302
"Dominican Republicm, rustic",303
"Dominican Republic, rustic",304
"Criollo, Dominican Republic",305
"Porcelana, Tabasco, La Joya",306
"Xoconusco, Chiapas, cacao Real",307
Papua,308
"Mahali, Kasai",309
"Zorzal Reserve, Hispaniola, batch 239",310
Chuncho-Cuzco,311
"Lakuna, Amazonas, silvestre",312
Cuzco,313
Piura Select,314
Pichincha,315
Bolivar,316
Amazonia,317
Baking,318
Grenade,319
Sao Tome,320
"Lago di Como, Blu",321
"Porcelana, Batch 5163",322
Choco,323
Meta,324
Los Rios,325
"Saidor Estate, Madang P.",326
Kulili Estate,327
"La Colonia, batch 5",328
"Kokoa Kamili, batch 9",329
"Ucayali, batch 12",330
"Soconusco, batch 2",331
"Talamanca, Raul-Kekoldo community",332
"Antigua, Special Reserve",333
Anselmo Paraiso Estate,334
Cordoba,335
Huila,336
"Cesar, CCN51",337
"Ecuador, Vietnam",338
"Fazenda Camboa, Bahia, 2018",339
"Amazon Forest, 2018",340
"San Martin, batch 155",341
"Tumbes, batch 176",342
"Bolivia, batch 166",343
"Guaniamo, batch 173",344
"Guaniamo, Amazonas, batch 159",345
"Nicaragua, batch 164",346
"Conacado, batch 161",347
"Sierra Nevada, batch 1",348
"Arauca, batch 280",349
"the lost city, gracias a dias, batch 362",350
"Piaroa, Amazonas, Batch 350",351
"Duarte, Batch 360",352
"Maya Mtn, Batch 454, Heirloom",353
"Patanemo, batch 539",354
"Xoconusco, criollo, batch 834",355
"Valle de Los Rios, batch 990",356
"Chuao, batch 1089",357
"Ambanja, Sambirano Valley",358
"Maranon, nano-lot #709, bar# 371",359
"Beni, Cru Sauvage",360
"San Esteban (Chloe, Maria, Patrice)",361
Arriba,362
la Amistad,363
Ucayali River,364
Tumaco Narino,365
"Dominican Republic, ""Provincetown Dark""",366
Blend No. 1,367
Maya Mountain w/ nibs,368
"Mekong Delta, early 2014 Harvest",369
"Tawau, Oct. 2015 Harvest",370
La Dalia,371
"Peru, batch C7",372
"Dominican Republic, batch 5",373
"Peru + nibs, batch C6",374
"Ottange Farm, Mava P., Ramena River, Sambirano",375
"Tumbes, ""Zarumilla""",376
"Philly Blend, 5 plantations",377
Wild Bolivian,378
Nicaragua,379
Tres Hombres,380
"Congo, Gorilla bar",381
"Peru, Awagum bar",382
"Idukki Hills, GoGround, batch 0089",383
"Anamalai, Tamil Nadu",384
"Monte Grande Plantation, Coatepeque",385
"Chiapas, Lacandon Jungle, Oaxacom Mtn",386
"Chivite, Cahabon River",387
Duarte,388
"Maya Mountain, Toledo",389
"Bolivar, Guaranda",390
Guyave,391
Maragda,392
Kendari,393
Tarakan,394
"Porcelana, Tabasco",395
Brazilian,396
"Verapaz, 2017 harvest, Batch 14",397
"Chuao w/ nibs, 2017-2018 harvest, Batch 9",398
"Maya Mountain, 2017 harvest, Batch 11",399
"Bejofo, 2019 H., Batch 20",400
"Kokoa Kamili, harvest 2018",401
"Wild Tranquilidad, harvest 2018, batch 9",402
Guadeloupe,403
"Ucayali, batch 1",404
"Vietnam, Marou 2017 harvest",405
"Hacienda Azul, 2017 harvest",406
"Camino Verde, 2017 harvest",407
"Kokoa Kamili, 2017 harvest",408
"Fazenda Camboa, 2017 harvest",409
"Maranon Canyon, Fortunato No. 4",410
Choroni,411
"Principe, Sao Tome & Principe",412
Terreiro Velho P. w/ sugar crystals,413
"Terreiro Velho P., Sao Tome & Principe",414
"Camino Verde P., Balao, Guayas, 2014, batch 1",415
St. Lucia,416
"Maranon, batch 244PEmaD",417
"Sambirano, batch 236MAsaD77",418
"Tumaco, batch 227COtm",419
Moxos,420
"Tien Giang, 2015, batch 10-2-16",421
Malah Na Bulong,422
"Ivory Coast, Rainforest Alliance, batch 7",423
"Sambirano, Menava P.",424
"Porcelana, Tabasco, Mexico",425
Chuao 100hr,426
Chuao 70hr,427
"Los Rios, H. Iara",428
Ocumare 61,429
Ecuador Puristique,430
Ghana Puristique,431
"Uba Budo, Sao Tome & Principe",432
"Ecuador, Puristique",433
Sensations Intense,434
"Tanzania, batch a1",435
"Bahia, batch a1213",436
"Namau Village, N. Taileva P., batch a2812",437
"Vanuatu, batch 2410",438
"Djual Island, batch 1712",439
"New Ireland, batch 1702",440
"""heirloom"", Arriba Nacional",441
"Zorzal, batch 40",442
"Aruaca, batch 39",443
"Camino Verde, batch 84",444
"Wampusirpi, batch 41",445
"Anamalai, Pollachi City, batch 148",446
"Lachua, Cacao Verapaz, 2018 harvest, batch 20092",447
"Pisa, 2020 harvest, batch 20111",448
"Maya Mountain, 2020 harvest, batch 20107",449
"Tabasco, Agrofloresta Cacao, 2020 h., batch 20098",450
"Comalcalco, Tabasco, b. 2370003, 2019 harvest",451
"Daintree Estates, N. Queensland",452
Goodman Estate,453
"Dominican Republic, batch 7",454
Crayfish Bay aka Non Pariel Estate,455
O'Payo,456
Robson Estate,457
"Angel Bar, Nicaragua, Madagascar",458
"Puerto Rico, collab w/ USDA (Juan Echevarria)",459
"Ucayali, collab w/ USAID & Alanzo Cacao",460
Upala,461
Colombian,462
"Elvesia, 2011",463
"Cumboto, farmer Jose Lugo, batch 1",464
"Patanemo, batch 3",465
"Mantuano, 2012, batch 1",466
"Papua New Guinea, batch 1",467
Buto,468
"Camino Verde P., Balao, Guayas, 2013",469
"San Francisco de Macoris, Cibao region",470
"Maya Mtn., Break Bar- Snark",471
"Zorzal Reserva, 2015 H., Kerchner",472
"Hacienda Azul, 2016 Harvest",473
"Gola Rainforest, 2017 harvest",474
"WAMPU, La Mosquitia, 2017 harvest",475
"Anamalai, 2017 harvest",476
"Ben Tre, 2018 Harvest",477
"Cahabon, Cacao Verapaz, ADIOESMAC, batch 1",478
"Anamalai, 2018 H., batch 1",479
"Piura Blanco, 2015 h.,Norandino Coop, batch 1",480
"Anamalai, 2019 H., batch 1, nutmeg fermentation",481
"Kokoa Kamili, 2017 h., batch 2",482
"Zorzal Estate, 2016 h., batch 1",483
"Vale Potumuju, 2019 h., batch 1",484
"Zorzal Estate, 2017 h.",485
Las Acacias E.,486
Los Ujuxtes,487
"Oscuro, Finca Chimelb",488
"Venezuela, batch 122",489
"DUO, batch 002, Ecuador, Costa Rica",490
Mekong Delta,491
West Africa,492
Rainforest,493
"Nativo, Varzea",494
"Selvagem, Jari",495
Bundibugyo District,496
"Sambirano Valley, batch 2477",497
"Kilombero, batch 41",498
"Monte Grande, batch 178",499
Bolivian,500
Mantuano,501
"Ecuador, Choc. Garage Exclusive",502
"Alto Beni, Wild Harvest, Limited Ed.",503
Lanquin Estate,504
"Fazenda Camboa, Bahia, batch 17009",505
"Solomon Is.,batch 17158, N.Vela",506
"Vanua Levu, Matasawalevu",507
"Akesson P., Sambirano",508
"Maya Mtn, Toledo",509
"Northerner, Madagascar and Brazil",510
"Bachelor's Hall, batch 20240",511
"Soconusco, Rayen Cacao Co-op, batch 21154",512
"Sao Tome, Grand Cru Plantation, amelonado",513
"Sao Tome, unroasted, batch UNR-18-003",514
"Sao Tome, batch OST-18-01",515
"Sao Tome, batch TRI-18-002, trinitario",516
"Panama, Raven",517
"Puerto Cabello, Mantuano",518
Johe,519
Puerto Cabello,520
"O'ahu Island, N. Shore, Waialua Estate",521
Noir,522
"Africa, West Africa",523
Sur del Lago Classificado,524
Apurimac,525
"Ocumare 61, Puertomar",526
Granella,527
Madagared,528
"Java, Javablond",529
"Ocumare 67, Puertofino",530
"Carupano, H. San Jose",531
Teyuna,532
Ilblend,533
"Chuao, Hacienda San Jose",534
"Canoabo, Hacienda San Jose",535
Morogoro,536
Guasare,537
"IL100, H. San Jose, batch NDL3A01",538
Ocumare 77,539
"Rio Caribe, Batch 7",540
"Colombia, Batch 9",541
"Madagascar, Batch 8",542
Non Pariel Estate,543
"Kablon Farm, batch 242",544
"Verapaz, batch 254",545
"Piura, batch 274",546
"Trio Reserve, 2020 h. batch D002",547
Hispaniola,548
Star of Ecuador,549
"Corazon del Ecuador, Calceta beans",550
Star of Peru,551
"Bocas del Toro, Tierra Oscura",552
"Nicaliso, Xoco",553
"Indio Rojo, Xoco",554
"Chuno, Xoco",555
"Rico Rugoso, Xoco",556
"Rio Dulce, Xoco",557
Eti-Oni,558
Mayan Red,559
"Juno, batch 201006",560
"Dominican Republic, batch 1507",561
Taino Secret,562
"Carenero, Empyrean Sabor",563
"Maranon, Joya Rara",564
"Rio Caribe, Tepui Treasure",565
Corona Arriba,566
"Peru, batch P116",567
"Madagascar, batch M132",568
"Dominican Republic, batch DR113",569
"Maranon, Good & Evil, w/ nibs",570
"NOE, nacional/criollo, batch 1",571
"Akessons, Sambirano Valley",572
"Alto Beni, Covendo Region",573
"Carenero Superior, Gran Saman",574
"Carenero Superior, Apamate",575
"Carenero Superior, Bucare",576
"Carenero Superior, Mijao",577
"Rio Caribe, Cariaco",578
"Rio Caribe, Macuro",579
San Joaquin,580
"Polochic, batch 711",581
Emerald Estate,582
Pisa w/ nibs,583
Bejofo,584
"Wampusirpi, batch 007",585
"Ben Tre, batch 77",586
Gola Rainforest,587
"Maiden Voyage Estate, Herbert Pasqual",588
Ham Luong,589
"Ba Lai, Mekong Delta",590
Guapiles,591
"Carenero, Guapiles, Ocumare blend",592
"""Roasted Cocoa Nibs"", Latin America Blend, b.060321",593
"Arhuacos, Sierra Nevada, batch 060221",594
"Peru, Madagascar",595
"Venezuela, Trinidad",596
Red Vanilla,597
"Maranon, Fortunato",598
"Monte Alegre, D. Badaro, Raw, Organic",599
Blue Mountain,600
Supremo- SF,601
"Madagascar, Grand Cru",602
Maracaibo Clasificado,603
"Alto Beni, Cru Savage",604
Honduras,605
"Chigorodo, batch 001",606
"Ucayali (Peru), Papua New G., Tabasco (Mexico)",607
Mindanao Island,608
Karkar Island,609
Guadalcanal,610
Malekula Island,611
"Maya Mtn, batch 7C",612
"Monte Grande, batch 18",613
"Tumaco, batch 23abc",614
"Oko Caribe, San Fran. De Mac.,batch A",615
Goground,616
Rio Eni,617
"Camino Verde P., Balao, Guayas",618
"Kokoa Kamili Coop, Kilombero",619
"Pak Eddy Farm, Yogyakarta Region",620
"Finca La Rioja E., Cacahoatan, Chiapas, microlot",621
"Ottange Farm, Mava Plantation, Sambirano",622
"Burang, Popayato-Paquat microlot, Goranulo Province",623
"Semai Community, Kamping Long B, Pahang",624
"Kulkul P., Karkar Island, 2018 h., batch PK019",625
"Alto Beni, 2017 h.",626
"Masidau Farm, batch VM021",627
"Tumaco, 2017 h., batch U022",628
"Kilombero Valley, 2017 h., batch TK020",629
"Camino Verde, 2017 h., batch EC019",630
"Ucayali, 2017 h., batch PU024",631
"Choroni, batch 210414",632
"Ocumare, batch 210414",633
"Sur del Lago, Zulia",634
"Chuao, batch 4, Lot DH17",635
"Carenero, Miranda",636
"Cuyagua, batch 4, lot DC2.3",637
Peru Brutus,638
"Palo Blanco w/ panela, Chulucanas, b. 120725A",639
"Tumbes Coop, batch 120724M",640
"Palo Blanco, Chulucanas, b. 120725A",641
"Palo Blanco, Chulucanas",642
San Andres,643
Matagalpa,644
"Norandino, batch 161208",645
"Animalai, batch 1063",646
"Jamaica, #204, DR, SC",647
"Jamaica, #206, DR, LC",648
"Jamaica, #205, DR, MC",649
"Carenero Superior, #203, MR, SC",650
"Ghana, #211, MR, MC",651
"Sambirano Valley, #214, LR, MC",652
"Sambirano Valley, #215, MR, MC",653
"Jamaica, #209, DR, SC",654
"Conacado, #213, DR, -C",655
"Chuao, #218, MR, MC, batch 11-020",656
"Conacado, #212, LR, SC",657
"Jamaica, #210, DR, MC",658
"Chuao, #217, DR, MC, batch 11-021",659
"Markham Valley, #222, LR, 0C",660
"Markham Valley, #219, LR, MC",661
"Markham Valley, #221, DR, MC",662
"Sambirano Valley, #216, MR, LC",663
"Markham Valley, #220, MR, MC",664
"Conacado, #223, MR, SC, batch 13-051",665
"Conacado, #224, MR, MC, batch 13-061",666
"San Martin, Bellavista Coop, #226, DR, MC",667
"Bellavista Coop, #225, LR, MC, CG Exclusive",668
"Maranon, #228, MR, SC",669
"Maranon, #227, LR, MC",670
"Maranon, #229, MR, LC",671
"Maranon, #230, DR, LC",672
"Polochic Valley, LR, LC, batch 17-203",673
"Polochic Valley, DR, LC, batch 17-201",674
"Polochic Valley, MR, LC, batch 17-189",675
"Chuao, MR, SC, batch 18-224",676
"Lamas, Oro Verde, #280, MR 0C, batch 21-457",677
"ABOCFA, #260, LR-SC, batch 20-335",678
"Lamas, Oro Verde, #282, DR MC, batch 21-451",679
"ABOCFA, #261, DR-MC, batch 21-448",680
"O'Payo Profundo, Waslala, MR-MC, #271, b. 21-431",681
"Sambirano V., #290, MR MC, batch 21-454",682
"O'Payo Profundo, Waslala, DR-LC, #271, b. 21-433",683
"Chuao Village, BR-SC, batch 21-437",684
"Fazenda Camboa, Bahia",685
"Kokoa Kamili, Kilombero District",686
"Rugoso, Bad Fermentation",687
Barba,688
"La Dalia, Lazy Growers Blend",689
"Chuno, 2x turned",690
"O'Payo, Wasalala Co-op",691
"Chuno, 3x turned",692
Medagla,693
Nicaliso,694
Indio Rojo,695
"Johe, Xoco",696
"Chuno, triple turned, Xoco",697
"Red Mayan, Xoco",698
"Chuno, double turned, Xoco",699
"Rugoso, Xoco",700
"Barba, Xoco",701
"Medagla, Xoco",702
Signature Blend,703
"Wild Bolivian, Batch 2",704
"Coto Brus, Heirloom, Batch 1",705
"Tumaco, batch 2",706
"Sambirano, Akessons, batch 1",707
"Los Bejucos, batch 1",708
"Hispaniola, Dom. Rep. blend, batch 50",709
"Taiwan, #1",710
"Kaua'i Island, Alea Estate +world",711
Akesson P.,712
Conacado Coop,713
ABOCFA Coop,714
"Rabot Estate, Island Growers",715
"Porcelana, La Orquidea, Santa Barbara, Zulia",716
Cahabon E.,717
"Toledo District, 2015 Harvest",718
"Almendra Blanca, batch 1004",719
"Asochivite, batch 1005",720
"El Carmen, batch 1003",721
"Ucayali, batch 1041",722
Boyaca,723
Coto Brus,724
"Costa Esmeraldas, Salazar Farm",725
"Idukki Hills, ""Adventurous""",726
"Alto Beni, ""Wild""",727
"Ben Tre, Dong Nai",728
"Sambirano, Ambanja, batch 11",729
"Kokoa Kamili, Kilombero District, batch 11",730
"Duarte Province, El Cibao, batch 10",731
"Dak Lak, batch 09",732
Dark,733
Nativo Blanco,734
"Idukki Hills, batch 11",735
"Arriba, A.S.S., prototype",736
"Ghana, prototype",737
"Trinidad & Tobago, prototype",738
Lacri Blend,739
"Ven, Trinidad, Ecuador, prototype",740
Chucuri,741
Semisweet,742
"Sambirano, Ambanja",743
"Los Rios, Quevedo",744
Tsaranta,745
Quetzalcoatl,746
Machu Pichu,747
Special Maker Reserve,748
"O'ahu Island, N. Shore, Waialua E., Kakoleka",749
Nocturne,750
Complexite,751
Coucher du Soleil,752
Lever du Soleil,753
Onyx,754
"Epique, Blend No. 49",755
one hundred,756
Campesino w/ nibs,757
Downtown London,758
Africa meets Latina,759
Amazonas,760
"Hawai'i Island, Sharkey",761
Trinidad & Tobago,762
Don Homero- Cerecita Valley,763
South America and Africa,764
Brazil Blend,765
"Tome Acu E., Amazon Rainforest",766
"Vale do Juliana E., Atlantic Forest",767
"Vale do Juliana, w/ nibs",768
Libiano,769
Kerla,770
"Ben Tre, batch 133",771
"Soconusco, La Rioja Farm, Chiapas",772
"Pulau, Bali",773
"Dutch Blend, Ven.- Bali- Trinidad",774
"Porcelana, Maracaibo",775
"Maya Mtn, Moho R., Toledo D., 2015",776
"Cota Brus, Terciopelo, 2015",777
"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",778
"Alto Beni, Upper Rio Beni, 2014",779
"Los Rios, Hacienda Limon, Orecao, 2014",780
"O'ahu Island, Maunawili, Agri Research C., 2014",781
"O'ahu Island, Maunawili, Agri Research C., 2015",782
"Los Rios, Hacienda Limon, Orecao, 2015",783
"Pinchincha, Mindo, Coop Nueva Esper., 2015",784
"Alto Beni, Upper Rio Beni, 2015",785
"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",786
"Esmeraldas, Muisne Estate",787
"Matagalpa, El Tuma region",788
"Maranon, batch 0723",789
"Camino Verde, batch 0722",790
"Sambirano Valley, batch 0124",791
"Kokoa Kamili, batch 0214",792
"Oko Caribe, batch 0719",793
Akesson's Estate,794
Gran Blanco,795
"Porcelana, Lake Maracaibo",796
San Martin,797
Hispaniola w/ nibs,798
Mara,799
"Ecuador, w/ nibs, batch 140224-1",800
"Island Growers, 2012, 120hr c., batch 13080",801
"Marcial, single Cote, 2012",802
"Pepiniere, single Cote",803
"Sierra Nevada, Cienaga",804
Copan,805
Kilombero Valley,806
Uba Budo,807
"Los Rios, H. Iara, 96hr c.",808
"Island Growers, 120hr c.",809
"Island Growers, 96hr c.",810
"Los Rios, H. Iara, 2012, 120hr c., batch 13092",811
"Chanchamayo, Pichanadi, 2012, 60hr c., b.13092",812
"Conacado, 2012, 120hr c.batch 13092",813
"Somia Plantation, Akesson, 2012, Rabot",814
Mekong Delta & Dong Nai,815
"Los Rios, H. Iara, 2012",816
"Ocumare, Cumboto, batch 16",817
"Amazonas, batch 14",818
"Bolivia, batch 85",819
"Bolivia, Bo-nib-ia, w/ nibs, batch 78",820
"Momotombo, batch 74",821
Zorzal Reserva w/ Charles Kerchner,822
"Hispaniola, batch 73",823
"Choroni, Finca Torres, 48hr c.",824
"Ocumare, H. Cata, w/ nibs",825
Coopertiva Amazona,826
"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",827
"Ocumare, H. Cata, 48hr c.",828
"Porcelana, Zulia",829
"Carenero Superior, Urrutia, Barlovento",830
Coopertiva Amazona w/ nibs,831
"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",832
"Chuao, (Choroni, Ven.)",833
India (south),834
"Satipo region, white label",835
black label,836
"Peru, batch 25",837
"Belize, batch 26",838
"Dominican Republic, batch 30",839
"Madagascar, batch 27",840
Perseverance E.,841
"Elvesia P., Batch 32",842
"Maya Mountain, Toledo, Batch 29",843
Trinatario Treasure,844
"Venezuela, batch 107",845
Mount Pleasant,846
"San Martin, Oro Verde",847
"Ocumare, Cuyagua",848
"Tien Giang, Mekong Delta",849
Camino Verde P.,850
"Sambirano Valley, Batch 7",851
"Costa Esmeralda, Batch 30",852
"Anamalai, batch 8",853
"Tabaquite, batch 12",854
Chumphon,855
Chantaburi,856
Chiang Mai,857
Prachuap Khiri Khan,858
"Rizek Cacao, Domin. Rep.",859
"Rizek Cacao, Cibao Valley, Rizek",860
"Tireo, Rizek Historical Selection, single estate",861
"La Magdalena, Rizek Historical S., single estate",862
"West Indian, Rizek Historical S.",863
El Antiguo (Monet Plata & Duarte ),864
"El Valle, Collection 01, Rizek",865
Mata Larga,866
"Dominican Nacional, Collection 01",867
"Los Bejucos, Collection 01, Rizek",868
"San Juan Coop, El Castillero",869
"Chulucanas, Piura, Cesar Vallejo-farmer",870
"Morogoro, Kamili, Kilombero Valley, batch 13",871
Vanuatu,872
Diego/ original micro,873
Cacao Nacional W.F.,874
Roberto,875
Diego 48hr/ W.F. blend prototype,876
Sisa 36hr/ W. F. blend prototype,877
Diego 60hr/ W.F. blend prototype,878
Sisa's Secret/ original micro,879
"Davao, Mindanao, batch 24",880
"Karkar Island, Madong, batch 34",881
"La Red, Project Reserva, Guaconejo",882
"Tumaco, batch 113",883
"La Red, Guanconjeco",884
Mava Sa Ferme D'ottange,885
Kablon Farm,886
"Xoconusco, triple turned",887
H. Betulia B6,888
Gazelle,889
ROIG,890
"Maranon, Fortunato No. 4",891
"Kafupbo, Petit Bourg, De Borgnes",892
"Bahia, Fazenda Camboa",893
"Los Rios, Hacienda Limon, Heirloom",894
Venzuela,895
Quito,896
"Fiji, batch 51019",897
"Lumas, 2015 Harvest, Batch 6, brown sugar",898
"Lumas, 2015 Harvest, Batch 7",899
"Belize, 2014 Harvest, Batch 9",900
"Tumbes, 2013 Harvest, Batch 8",901
"Lachua, Cacao Verapaz",902
"Maya Mtn, 2017 harvest",903
"Asochivite, 2017 harvest",904
"Piura Blanco, 2018 harvest",905
